ITEM_NO,POST_DATE,QTY_SOLD,EXT_PRC
00206,2026-01-15T00:00:00,1.0,7.99
100202,2026-01-15T00:00:00,2.0,25.98
100220,2026-01-15T00:00:00,2.0,21.98
10025,2026-01-15T00:00:00,13.0,51.87
10034,2026-01-15T00:00:00,7.0,20.93
100422,2026-01-15T00:00:00,1.0,20.99
100845,2026-01-15T00:00:00,2.0,6.58
10133,2026-01-15T00:00:00,2.0,32.28
101570,2026-01-15T00:00:00,5.0,59.95
101638,2026-01-15T00:00:00,1.0,24.99
10172,2026-01-15T00:00:00,3.0,14.97
10173,2026-01-15T00:00:00,3.0,14.97
10220,2026-01-15T00:00:00,1.0,3.49
10221,2026-01-15T00:00:00,8.0,27.92
102220,2026-01-15T00:00:00,1.0,46.99
10223,2026-01-15T00:00:00,3.0,10.47
10241,2026-01-15T00:00:00,5.0,11.25
10248,2026-01-15T00:00:00,2.0,99.98
10253,2026-01-15T00:00:00,4.0,19.96
10288,2026-01-15T00:00:00,4.0,23.96
102XXL,2026-01-15T00:00:00,1.0,24.99
103774,2026-01-15T00:00:00,1.0,4.49
10390,2026-01-15T00:00:00,8.0,36.72
10400,2026-01-15T00:00:00,2.0,9.18
10426,2026-01-15T00:00:00,1.0,18.99
104411,2026-01-15T00:00:00,1.0,12.5
104504,2026-01-15T00:00:00,1.0,3.99
10520,2026-01-15T00:00:00,1.0,4.69
10537,2026-01-15T00:00:00,1.0,10.79
10558,2026-01-15T00:00:00,1.0,22.99
10569,2026-01-15T00:00:00,1.0,2.99
10573,2026-01-15T00:00:00,1.0,9.99
1058,2026-01-15T00:00:00,4.0,9.0
10584B,2026-01-15T00:00:00,1.0,5.99
10591,2026-01-15T00:00:00,2.0,31.98
106041,2026-01-15T00:00:00,1.0,18.99
106601,2026-01-15T00:00:00,4.0,31.96
106714,2026-01-15T00:00:00,1.0,2.5
10683,2026-01-15T00:00:00,3.0,8.97
10700,2026-01-15T00:00:00,6.0,40.74
10754,2026-01-15T00:00:00,1.0,15.99
10756,2026-01-15T00:00:00,1.0,15.99
11011,2026-01-15T00:00:00,26.0,58.5
11031,2026-01-15T00:00:00,15.0,33.75
11035,2026-01-15T00:00:00,1.0,14.99
11053,2026-01-15T00:00:00,4.0,11.16
111211,2026-01-15T00:00:00,1.0,21.99
