CATEG_COD,SUBCAT_COD,ITEMS,W_STAT,P_VALUE,NORMAL
BABY,ANNOUCEMNT,17,0.8371,0.0001,No
BABY,BLANKETS,44,0.8911,0.0000,No
BABY,CLOTHING,133,0.9148,0.0000,No
BABY,PLUSH,52,0.9546,0.0001,No
BALLOONS,18BAGGED,146,0.9527,0.0000,No
BALLOONS,JUMBO,34,0.9400,0.0017,No
COMFORT,SOCKS,39,0.9264,0.0000,No
DRINKWARE,22 OZ,20,0.9203,0.0236,No
DRINKWARE,NOVELTY,19,0.8837,0.0014,No
ELECTRONIC,EARBUDS,25,0.9408,0.0434,No
FASHION,ACCESSORY,41,0.9344,0.0000,No
FASHION,BAGS,18,0.8262,0.0000,No
FASHION,CLOTHING,149,0.8857,0.0000,No
FASHION,EARRINGS,51,0.8075,0.0000,No
FASHION,FRAGRANCE,93,0.9294,0.0000,No
FASHION,HAT,30,0.9192,0.0002,No
FASHION,JEWELRY,190,0.9598,0.0000,No
FASHION,LICENSED,17,0.9079,0.0256,No
FASHION,PURSE,258,0.9203,0.0000,No
FASHION,READERS,109,0.9592,0.0000,No
FASHION,SCARF,24,0.9332,0.0234,No
FASHION,SLEEPWEAR,74,0.9542,0.0000,No
FASHION,WATCH,13,0.7731,0.0001,No
GAMES,ACTIVITY,26,0.9267,0.0048,No
GAMES,GAMES,27,0.9159,0.0006,No
GIFT BAG,GIFT BAG,40,0.9625,0.0457,No
GIFTS,DRINKWARE,22,0.9301,0.0313,No
GIFTS,FIGURINES,76,0.9299,0.0000,No
GIFTS,KITCHEN,18,0.8573,0.0003,No
GIFTS,MUG,25,0.9195,0.0028,No
GIFTS,SIGN,18,0.8522,0.0002,No
GREETCARD,AFRICANAM,29,0.9068,0.0000,No
GREETCARD,BABY,47,0.9279,0.0000,No
GREETCARD,BIRTHDAY,255,0.9327,0.0000,No
GREETCARD,CONGRATS,25,0.9102,0.0008,No
GREETCARD,ENCORGMENT,74,0.8393,0.0000,No
GREETCARD,FLORAL,50,0.9502,0.0000,No
GREETCARD,FRIENDSHIP,29,0.9095,0.0001,No
GREETCARD,GETWELL,56,0.9340,0.0000,No
GREETCARD,MOTHERSDAY,16,0.8702,0.0028,No
GREETCARD,SYMPATHY,39,0.9344,0.0000,No
