STR_ID,STORE_NAME,CITY,STATE,STORE_TIER,ANNUAL_REVENUE,QTY_90D,AMT_90D,TXN_90D,UNIQUE_ITEMS_90D,CATEGORIES_SOLD,PCT_RECENT,QTY_ON_HND,QTY_AVAIL,ITEMS_STOCKED
124,UR Strong Memorial Hospital,Rochester,NY,ELITE,1383587.25,38596.0000,312689.58,15507,3069,21,22.6,40230.0000,40230.0000,36821
136,Brigham & Women's Hospital,Boston,MA,ELITE,1322669.83,63445.0000,339768.29,25730,2917,21,25.7,32052.0000,32047.0000,36829
101,Boston Children's Hospital,Boston,MA,ELITE,1302865.76,42229.0000,324365.67,15654,2319,21,24.9,73063.0000,72594.0000,36823
125,John Stroger Hospital of Cook County,Chicago,IL,HIGH,872376.20,52203.0000,170715.26,22824,1824,21,19.6,29877.0000,28870.0000,36821
135,Summa Health System,Akron,OH,HIGH,815513.00,28400.0000,171828.72,12119,2130,21,21.1,23780.0000,23780.0000,36824
108,Moffitt Cancer Center,Tampa,FL,HIGH,665498.86,28060.0000,127082.71,11707,1412,21,19.1,32147.0000,29954.0000,36819
109,Houston Methodist Baytown,Baytown,TX,HIGH,659089.95,21694.0000,113121.13,8596,1719,21,17.2,40124.0000,40124.0000,36819
115,Central DuPage Hospital,Winfield,IL,HIGH,645254.89,16050.0000,106305.86,7433,1843,21,16.5,43054.0000,42770.0000,36825
128,Chandler Regional Medical Cent,Chandler,AZ,HIGH,605013.01,22487.0000,138293.84,8665,1935,21,22.9,23328.0000,22967.0000,36827
118,Northwestern Memorial Hospital,Chicago,IL,HIGH,593394.74,22232.0000,128048.35,8335,1602,21,21.6,34932.0000,35200.0000,36819
140,Jackson Madison Co. General Ho,Jackson,TN,HIGH,565571.74,32325.0000,179223.19,12140,1952,21,31.7,19409.0000,19427.0000,38956
103,Texas Health Huguley Hospital,Fort Worth,TX,MEDIUM,497086.17,21256.0000,96357.71,8551,1605,21,19.4,34828.0000,34778.0000,36820
117,Northwestern Memorial Brand St,Chicago,IL,MEDIUM,493289.22,3327.0000,111939.93,1811,343,3,22.7,316.0000,316.0000,36819
