STR_ID,STR_NAM,STORE_TYPE
101,Boston Children's Hospital,
102,Paoli Hospital,
103,Texas Health Huguley,
104,Medical City Arlington,
105,Jefferson Washington Township,
106,Jefferson Cherry Hill Hospital,
107,Jefferson Stratford Hospital,
108,Moffitt Cancer Center,
109,Houston Methodist Baytown Hospital,
110,THOP - Memorial Campus,
111,THOP - Sierra Campus,
112,THOP - East Campus,
113,THOP - Transmountain Campus,
114,Wellstar North Fulton Hospital,
115,NM Central DuPage Hospital,
116,Wellstar Atlanta Medical Center,
117,Northwestern Memorial Brand Store,
118,Northwestern Memorial Main,
119,NM Delnor Community Hospital,
120,NM Kishwaukee Community Hospital,
121,Northwestern Ecommerce Brand Store,
122,Moffit McKinley Hospital,
123,Women & Infants Hospital,
124,UR Strong Memorial Hospital,
125,Cook County Hospital,
126,St. Joseph Health Regional,
127,CHI Memorial Hospital,
128,Chandler Regional MC,
129,Mercy Gilbert Medical Center,
130,Doylestown Hospital,
131,Memorial Hospital,
132,Englewood Hospital & MC,
133,St. Joseph Health College Station,
134,Mary Greeley Medical Center,
135,Summa Health System,
136,Brigham & Women's Hospital,
138,Moffitt International Plaza,
139,Moffitt SouthShore,
140,Jackson Madison Co. Hospital,
141,Piedmont Healthcare Eastside,
142,Southern Hills Hospital,
143,Methodist Mansfield MC,
144,Ellis Hospital,
145,Piedmont Cartersville,
146,The Eastside Cafe,
147,BSW MC - Irving,
148,AdventHealth Central Texas,
149,BSW MC - Centennial,
150,Riddle Hospital,
151,Pennsylvania Hospital,
152,BSW MC - All Saints,
153,BSW MC - Grapevine,
154,Ben's Den,
HQ,Cloverkey Headquarters,
